key,display_name,voivodship,population,area_km2,locker_count,operating_count,count_247,count_accessible,density_per_km2,density_per_100k_people,pct_247,pct_accessible,rank_density_km2,rank_density_100k
powiat bartoszycki__warmińsko-mazurskie,Powiat bartoszycki,warmińsko-mazurskie,56891,1307.49,34,33,33,33,0.0260,59.76,97.06,97.06,353,349
powiat lipski__mazowieckie,Powiat lipski,mazowieckie,33738,740.22,19,19,16,16,0.0257,56.32,84.21,84.21,354,361
powiat choszczeński__zachodniopomorskie,Powiat choszczeński,zachodniopomorskie,48035,1327.63,34,33,31,31,0.0256,70.78,91.18,91.18,355,278
powiat szczycieński__warmińsko-mazurskie,Powiat szczycieński,warmińsko-mazurskie,69263,1933.21,48,46,48,48,0.0248,69.30,100.00,100.00,356,293
powiat przasnyski__mazowieckie,Powiat przasnyski,mazowieckie,52355,1218.62,30,29,26,27,0.0246,57.30,86.67,90.00,357,359
powiat węgorzewski__warmińsko-mazurskie,Powiat węgorzewski,warmińsko-mazurskie,22555,693.22,17,13,15,16,0.0245,75.37,88.24,94.12,358,245
powiat augustowski__podlaskie,Powiat augustowski,podlaskie,57908,1659.39,40,36,35,35,0.0241,69.08,87.50,87.50,359,296
powiat olecki__warmińsko-mazurskie,Powiat olecki,warmińsko-mazurskie,34050,873.60,21,19,19,19,0.0240,61.67,90.48,90.48,360,340
powiat leski__podkarpackie,Powiat leski,podkarpackie,26413,834.94,20,20,18,18,0.0240,75.72,90.00,90.00,361,243
powiat gołdapski__warmińsko-mazurskie,Powiat gołdapski,warmińsko-mazurskie,26625,772.29,18,17,14,14,0.0233,67.61,77.78,77.78,362,312
powiat braniewski__warmińsko-mazurskie,Powiat braniewski,warmińsko-mazurskie,40927,1201.65,28,28,25,25,0.0233,68.41,89.29,89.29,363,301
powiat chełmski__lubelskie,Powiat chełmski,lubelskie,77752,1885.60,43,42,42,42,0.0228,55.30,97.67,97.67,364,367
powiat hajnowski__podlaskie,Powiat hajnowski,podlaskie,42293,1623.53,36,35,33,33,0.0222,85.12,91.67,91.67,365,156
powiat parczewski__lubelskie,Powiat parczewski,lubelskie,34590,952.20,21,21,19,19,0.0221,60.71,90.48,90.48,366,342
powiat łosicki__mazowieckie,Powiat łosicki,mazowieckie,30658,772.45,17,17,16,16,0.0220,55.45,94.12,94.12,367,366
powiat piski__warmińsko-mazurskie,Powiat piski,warmińsko-mazurskie,55952,1774.58,39,33,37,37,0.0220,69.70,94.87,94.87,368,290
powiat bielski__podlaskie,Powiat bielski,podlaskie,54058,1385.09,30,29,28,28,0.0217,55.50,93.33,93.33,369,365
powiat drawski__zachodniopomorskie,Powiat drawski,zachodniopomorskie,56842,1764.24,38,35,36,36,0.0215,66.85,94.74,94.74,370,316
powiat łomżyński__podlaskie,Powiat łomżyński,podlaskie,50894,1354.59,28,27,27,27,0.0207,55.02,96.43,96.43,371,368
powiat łobeski__zachodniopomorskie,Powiat łobeski,zachodniopomorskie,36514,1065.13,22,22,20,20,0.0207,60.25,90.91,90.91,372,344
powiat siemiatycki__podlaskie,Powiat siemiatycki,podlaskie,43910,1459.46,29,27,26,26,0.0199,66.04,89.66,89.66,373,323
powiat włodawski__lubelskie,Powiat włodawski,lubelskie,38207,1256.42,24,24,22,23,0.0191,62.82,91.67,95.83,374,333
powiat kolneński__podlaskie,Powiat kolneński,podlaskie,37983,940.10,17,16,15,16,0.0181,44.76,88.24,94.12,375,380
powiat sokólski__podlaskie,Powiat sokólski,podlaskie,66286,2054.50,37,35,35,35,0.0180,55.82,94.59,94.59,376,362
powiat sejneński__podlaskie,Powiat sejneński,podlaskie,19807,855.17,13,11,12,12,0.0152,65.63,92.31,92.31,377,325
powiat suwalski__podlaskie,Powiat suwalski,podlaskie,35606,1307.00,19,14,19,19,0.0145,53.36,100.00,100.00,378,375
powiat moniecki__podlaskie,Powiat moniecki,podlaskie,40251,1381.79,20,18,17,17,0.0145,49.69,85.00,85.00,379,379
powiat bieszczadzki__podkarpackie,Powiat bieszczadzki,podkarpackie,21576,1139.07,14,14,12,12,0.0123,64.89,85.71,85.71,380,326
