key,display_name,geojson_nazwa,voivodship,population,area_km2
powiat rawski__łódzkie,Powiat rawski,powiat rawski,łódzkie,48504,646.20
powiat ropczycko-sędziszowski__podkarpackie,Powiat ropczycko-sędziszowski,powiat ropczycko-sędziszowski,podkarpackie,74582,548.31
powiat rybnicki__śląskie,Powiat rybnicki,powiat rybnicki,śląskie,78216,223.64
powiat rycki__lubelskie,Powiat rycki,powiat rycki,lubelskie,55841,614.53
powiat rypiński__kujawsko-pomorskie,Powiat rypiński,powiat rypiński,kujawsko-pomorskie,43408,586.47
powiat rzeszowski__podkarpackie,Powiat rzeszowski,powiat rzeszowski,podkarpackie,169986,1147.13
powiat sandomierski__świętokrzyskie,Powiat sandomierski,powiat sandomierski,świętokrzyskie,76736,675.89
powiat sanocki__podkarpackie,Powiat sanocki,powiat sanocki,podkarpackie,94166,1156.43
powiat sejneński__podlaskie,Powiat sejneński,powiat sejneński,podlaskie,19807,855.17
powiat siedlecki__mazowieckie,Powiat siedlecki,powiat siedlecki,mazowieckie,81402,1603.48
powiat siemiatycki__podlaskie,Powiat siemiatycki,powiat siemiatycki,podlaskie,43910,1459.46
powiat sieradzki__łódzkie,Powiat sieradzki,powiat sieradzki,łódzkie,117370,1490.83
powiat sierpecki__mazowieckie,Powiat sierpecki,powiat sierpecki,mazowieckie,51744,852.04
powiat skarżyski__świętokrzyskie,Powiat skarżyski,powiat skarżyski,świętokrzyskie,73567,395.43
powiat skierniewicki__łódzkie,Powiat skierniewicki,powiat skierniewicki,łódzkie,38156,753.38
powiat sochaczewski__mazowieckie,Powiat sochaczewski,powiat sochaczewski,mazowieckie,85001,734.80
powiat sokołowski__mazowieckie,Powiat sokołowski,powiat sokołowski,mazowieckie,53617,1131.17
powiat sokólski__podlaskie,Powiat sokólski,powiat sokólski,podlaskie,66286,2054.50
powiat stalowowolski__podkarpackie,Powiat stalowowolski,powiat stalowowolski,podkarpackie,105850,831.74
powiat starachowicki__świętokrzyskie,Powiat starachowicki,powiat starachowicki,świętokrzyskie,89152,523.41
powiat stargardzki__zachodniopomorskie,Powiat stargardzki,powiat stargardzki,zachodniopomorskie,120151,1519.94
powiat starogardzki__pomorskie,Powiat starogardzki,powiat starogardzki,pomorskie,128264,1345.34
powiat staszowski__świętokrzyskie,Powiat staszowski,powiat staszowski,świętokrzyskie,71574,924.80
powiat strzelecki__opolskie,Powiat strzelecki,powiat strzelecki,opolskie,74171,744.27
powiat strzelecko-drezdenecki__lubuskie,Powiat strzelecko-drezdenecki,powiat strzelecko-drezdenecki,lubuskie,48855,1247.86
powiat strzeliński__dolnośląskie,Powiat strzeliński,powiat strzeliński,dolnośląskie,43456,622.06
powiat strzyżowski__podkarpackie,Powiat strzyżowski,powiat strzyżowski,podkarpackie,61295,503.47
powiat sulęciński__lubuskie,Powiat sulęciński,powiat sulęciński,lubuskie,35110,1177.80
powiat suski__małopolskie,Powiat suski,powiat suski,małopolskie,84197,685.71
powiat suwalski__podlaskie,Powiat suwalski,powiat suwalski,podlaskie,35606,1307.00
powiat szamotulski__wielkopolskie,Powiat szamotulski,powiat szamotulski,wielkopolskie,91720,1119.29
powiat szczecinecki__zachodniopomorskie,Powiat szczecinecki,powiat szczecinecki,zachodniopomorskie,77394,1765.42
powiat szczycieński__warmińsko-mazurskie,Powiat szczycieński,powiat szczycieński,warmińsko-mazurskie,69263,1933.21
powiat sztumski__pomorskie,Powiat sztumski,powiat sztumski,pomorskie,41141,730.74
powiat szydłowiecki__mazowieckie,Powiat szydłowiecki,powiat szydłowiecki,mazowieckie,39547,451.81
powiat sępoleński__kujawsko-pomorskie,Powiat sępoleński,powiat sępoleński,kujawsko-pomorskie,40922,791.09
powiat sławieński__zachodniopomorskie,Powiat sławieński,powiat sławieński,zachodniopomorskie,56010,1043.20
powiat słubicki__lubuskie,Powiat słubicki,powiat słubicki,lubuskie,46897,999.29
powiat słupecki__wielkopolskie,Powiat słupecki,powiat słupecki,wielkopolskie,59029,838.01
powiat słupski__pomorskie,Powiat słupski,powiat słupski,pomorskie,98781,2304.24
powiat tarnobrzeski__podkarpackie,Powiat tarnobrzeski,powiat tarnobrzeski,podkarpackie,52871,521.06
powiat tarnogórski__śląskie,Powiat tarnogórski,powiat tarnogórski,śląskie,140799,644.19
powiat tarnowski__małopolskie,Powiat tarnowski,powiat tarnowski,małopolskie,201454,1411.58
powiat tatrzański__małopolskie,Powiat tatrzański,powiat tatrzański,małopolskie,68120,471.65
powiat tczewski__pomorskie,Powiat tczewski,powiat tczewski,pomorskie,115641,697.11
powiat tomaszowski__lubelskie,Powiat tomaszowski,powiat tomaszowski,lubelskie,82337,1488.89
powiat tomaszowski__łódzkie,Powiat tomaszowski,powiat tomaszowski,łódzkie,116141,1024.79
powiat toruński__kujawsko-pomorskie,Powiat toruński,powiat toruński,kujawsko-pomorskie,108938,1230.42
powiat trzebnicki__dolnośląskie,Powiat trzebnicki,powiat trzebnicki,dolnośląskie,85401,1024.78
powiat tucholski__kujawsko-pomorskie,Powiat tucholski,powiat tucholski,kujawsko-pomorskie,48338,1075.46
powiat turecki__wielkopolskie,Powiat turecki,powiat turecki,wielkopolskie,83818,929.43
powiat wadowicki__małopolskie,Powiat wadowicki,powiat wadowicki,małopolskie,159971,645.88
powiat warszawski zachodni__mazowieckie,Powiat warszawski zachodni,powiat warszawski zachodni,mazowieckie,119503,533.79
powiat wałbrzyski__dolnośląskie,Powiat wałbrzyski,powiat wałbrzyski,dolnośląskie,55414,430.22
powiat wałecki__zachodniopomorskie,Powiat wałecki,powiat wałecki,zachodniopomorskie,52929,1414.98
powiat wejherowski__pomorskie,Powiat wejherowski,powiat wejherowski,pomorskie,218766,1285.25
powiat wielicki__małopolskie,Powiat wielicki,powiat wielicki,małopolskie,129984,410.78
powiat wieluński__łódzkie,Powiat wieluński,powiat wieluński,łódzkie,76081,926.48
powiat wieruszowski__łódzkie,Powiat wieruszowski,powiat wieruszowski,łódzkie,42050,577.13
powiat wodzisławski__śląskie,Powiat wodzisławski,powiat wodzisławski,śląskie,156939,286.75
powiat wolsztyński__wielkopolskie,Powiat wolsztyński,powiat wolsztyński,wielkopolskie,57534,679.73
powiat wołomiński__mazowieckie,Powiat wołomiński,powiat wołomiński,mazowieckie,251276,953.56
powiat wołowski__dolnośląskie,Powiat wołowski,powiat wołowski,dolnośląskie,46725,674.96
powiat wrocławski__dolnośląskie,Powiat wrocławski,powiat wrocławski,dolnośląskie,153876,1117.70
powiat wrzesiński__wielkopolskie,Powiat wrzesiński,powiat wrzesiński,wielkopolskie,78089,703.57
powiat wschowski__lubuskie,Powiat wschowski,powiat wschowski,lubuskie,38787,624.20
powiat wysokomazowiecki__podlaskie,Powiat wysokomazowiecki,powiat wysokomazowiecki,podlaskie,56652,1288.91
powiat wyszkowski__mazowieckie,Powiat wyszkowski,powiat wyszkowski,mazowieckie,74283,876.43
powiat wąbrzeski__kujawsko-pomorskie,Powiat wąbrzeski,powiat wąbrzeski,kujawsko-pomorskie,34115,501.95
powiat wągrowiecki__wielkopolskie,Powiat wągrowiecki,powiat wągrowiecki,wielkopolskie,70216,1039.65
powiat węgorzewski__warmińsko-mazurskie,Powiat węgorzewski,powiat węgorzewski,warmińsko-mazurskie,22555,693.22
powiat węgrowski__mazowieckie,Powiat węgrowski,powiat węgrowski,mazowieckie,65641,1220.76
powiat włocławski__kujawsko-pomorskie,Powiat włocławski,powiat włocławski,kujawsko-pomorskie,85893,1473.63
powiat włodawski__lubelskie,Powiat włodawski,powiat włodawski,lubelskie,38207,1256.42
powiat włoszczowski__świętokrzyskie,Powiat włoszczowski,powiat włoszczowski,świętokrzyskie,44933,907.86
powiat zambrowski__podlaskie,Powiat zambrowski,powiat zambrowski,podlaskie,43390,733.12
powiat zamojski__lubelskie,Powiat zamojski,powiat zamojski,lubelskie,105839,1870.29
powiat zawierciański__śląskie,Powiat zawierciański,powiat zawierciański,śląskie,117137,1002.23
powiat zduńskowolski__łódzkie,Powiat zduńskowolski,powiat zduńskowolski,łódzkie,66232,369.23
powiat zgierski__łódzkie,Powiat zgierski,powiat zgierski,łódzkie,166154,855.18
powiat zgorzelecki__dolnośląskie,Powiat zgorzelecki,powiat zgorzelecki,dolnośląskie,88770,838.60
powiat zielonogórski__lubuskie,Powiat zielonogórski,powiat zielonogórski,lubuskie,75646,1349.75
powiat zwoleński__mazowieckie,Powiat zwoleński,powiat zwoleński,mazowieckie,36026,573.30
powiat ząbkowicki__dolnośląskie,Powiat ząbkowicki,powiat ząbkowicki,dolnośląskie,64486,801.53
powiat złotoryjski__dolnośląskie,Powiat złotoryjski,powiat złotoryjski,dolnośląskie,43274,575.81
powiat złotowski__wielkopolskie,Powiat złotowski,powiat złotowski,wielkopolskie,69282,1660.17
powiat Łomża__podlaskie,Łomża (miasto na prawach powiatu),powiat Łomża,podlaskie,62795,32.67
powiat Łódź__łódzkie,Łódź (miasto na prawach powiatu),powiat Łódź,łódzkie,677286,293.25
powiat łaski__łódzkie,Powiat łaski,powiat łaski,łódzkie,49794,618.23
powiat łańcucki__podkarpackie,Powiat łańcucki,powiat łańcucki,podkarpackie,81144,451.84
powiat łobeski__zachodniopomorskie,Powiat łobeski,powiat łobeski,zachodniopomorskie,36514,1065.13
powiat łomżyński__podlaskie,Powiat łomżyński,powiat łomżyński,podlaskie,50894,1354.59
powiat łosicki__mazowieckie,Powiat łosicki,powiat łosicki,mazowieckie,30658,772.45
powiat łowicki__łódzkie,Powiat łowicki,powiat łowicki,łódzkie,77842,988.17
powiat łukowski__lubelskie,Powiat łukowski,powiat łukowski,lubelskie,106591,1394.21
powiat łódzki wschodni__łódzkie,Powiat łódzki wschodni,powiat łódzki wschodni,łódzkie,72408,499.76
powiat łęczycki__łódzkie,Powiat łęczycki,powiat łęczycki,łódzkie,49562,772.75
powiat łęczyński__lubelskie,Powiat łęczyński,powiat łęczyński,lubelskie,57298,636.64
powiat Świnoujście__zachodniopomorskie,Świnoujście (miasto na prawach powiatu),powiat Świnoujście,zachodniopomorskie,40864,202.07
powiat Świętochłowice__śląskie,Świętochłowice (miasto na prawach powiatu),powiat Świętochłowice,śląskie,49363,13.31
powiat średzki__dolnośląskie,Powiat średzki,powiat średzki,dolnośląskie,55356,704.14
powiat średzki__wielkopolskie,Powiat średzki,powiat średzki,wielkopolskie,59033,623.86
powiat śremski__wielkopolskie,Powiat śremski,powiat śremski,wielkopolskie,61455,574.10
powiat świdnicki__dolnośląskie,Powiat świdnicki,powiat świdnicki,dolnośląskie,156550,741.14
powiat świdnicki__lubelskie,Powiat świdnicki,powiat świdnicki,lubelskie,71739,468.35
powiat świdwiński__zachodniopomorskie,Powiat świdwiński,powiat świdwiński,zachodniopomorskie,46526,1093.06
powiat świebodziński__lubuskie,Powiat świebodziński,powiat świebodziński,lubuskie,55678,936.57
powiat świecki__kujawsko-pomorskie,Powiat świecki,powiat świecki,kujawsko-pomorskie,98930,1474.18
powiat Żory__śląskie,Żory (miasto na prawach powiatu),powiat Żory,śląskie,62670,64.64
powiat żagański__lubuskie,Powiat żagański,powiat żagański,lubuskie,78634,1131.82
powiat żarski__lubuskie,Powiat żarski,powiat żarski,lubuskie,95801,1392.78
powiat żniński__kujawsko-pomorskie,Powiat żniński,powiat żniński,kujawsko-pomorskie,70070,984.77
powiat żuromiński__mazowieckie,Powiat żuromiński,powiat żuromiński,mazowieckie,38337,806.60
powiat żyrardowski__mazowieckie,Powiat żyrardowski,powiat żyrardowski,mazowieckie,75616,532.54
powiat żywiecki__śląskie,Powiat żywiecki,powiat żywiecki,śląskie,152450,1040.06
