key,display_name,geojson_nazwa,voivodship,population,area_km2
powiat Tychy__śląskie,Tychy (miasto na prawach powiatu),powiat Tychy,śląskie,127307,81.81
powiat Warszawa__mazowieckie,Warszawa (miasto na prawach powiatu),powiat Warszawa,mazowieckie,1793579,517.24
powiat Wałbrzych__dolnośląskie,Wałbrzych (miasto na prawach powiatu),powiat Wałbrzych,dolnośląskie,110603,84.70
powiat Wrocław__dolnośląskie,Wrocław (miasto na prawach powiatu),powiat Wrocław,dolnośląskie,643782,292.82
powiat Włocławek__kujawsko-pomorskie,Włocławek (miasto na prawach powiatu),powiat Włocławek,kujawsko-pomorskie,109347,84.32
powiat Zabrze__śląskie,Zabrze (miasto na prawach powiatu),powiat Zabrze,śląskie,171691,80.40
powiat Zamość__lubelskie,Zamość (miasto na prawach powiatu),powiat Zamość,lubelskie,63223,30.34
powiat Zielona Góra__lubuskie,Zielona Góra (miasto na prawach powiatu),powiat Zielona Góra,lubuskie,141280,278.32
powiat aleksandrowski__kujawsko-pomorskie,Powiat aleksandrowski,powiat aleksandrowski,kujawsko-pomorskie,55007,474.63
powiat augustowski__podlaskie,Powiat augustowski,powiat augustowski,podlaskie,57908,1659.39
powiat bartoszycki__warmińsko-mazurskie,Powiat bartoszycki,powiat bartoszycki,warmińsko-mazurskie,56891,1307.49
powiat bełchatowski__łódzkie,Powiat bełchatowski,powiat bełchatowski,łódzkie,112702,967.60
powiat bialski__lubelskie,Powiat bialski,powiat bialski,lubelskie,110454,2754.26
powiat białobrzeski__mazowieckie,Powiat białobrzeski,powiat białobrzeski,mazowieckie,33332,639.10
powiat białogardzki__zachodniopomorskie,Powiat białogardzki,powiat białogardzki,zachodniopomorskie,47434,845.46
powiat białostocki__podlaskie,Powiat białostocki,powiat białostocki,podlaskie,150333,2976.44
powiat bielski__podlaskie,Powiat bielski,powiat bielski,podlaskie,54058,1385.09
powiat bielski__śląskie,Powiat bielski,powiat bielski,śląskie,166215,458.64
powiat bieruńsko-lędziński__śląskie,Powiat bieruńsko-lędziński,powiat bieruńsko-lędziński,śląskie,59864,158.15
powiat bieszczadzki__podkarpackie,Powiat bieszczadzki,powiat bieszczadzki,podkarpackie,21576,1139.07
powiat biłgorajski__lubelskie,Powiat biłgorajski,powiat biłgorajski,lubelskie,100617,1681.10
powiat bocheński__małopolskie,Powiat bocheński,powiat bocheński,małopolskie,107023,648.56
